loan_amount,interest_rate,loan_term_Years,employment_status_Retired,annual_income,monthly_debt,credit_score,credit_history_years,num_credit_cards,num_loan_accounts,total_credit_limit,bankruptcy_flag,defaulted_previous,late_payments_30_59_days,late_payments_60_89_days,late_payments_90plus_days,Loan_issue_Year,Loan_issue_Month,loan_retained,interest_retained
50000,16.3,4.0,0.0,193425.0,1593.0,508.0,5.6,1,2,50406,0,0,9,5,1,2023,7,50000,32600.0
10000,16.18,3.0,1.0,224935.0,6432.0,331.0,0.1,0,3,278800,0,0,5,1,3,2016,4,10000,4854.0
20000,10.07,5.0,0.0,176335.0,6239.0,688.0,21.7,0,0,109917,0,0,4,7,1,2025,1,20000,10070.0
50000,13.95,2.0,0.0,74629.0,3129.0,631.0,11.2,0,1,334216,0,0,7,2,2,2024,7,50000,13949.999999999998
10000,14.7,3.0,0.0,142157.0,7141.0,506.0,27.5,5,4,293602,0,0,11,2,0,2020,4,10000,4410.0
40000,18.63,3.0,0.0,142580.0,4042.0,843.0,7.0,0,5,44755,0,0,1,2,1,2016,8,40000,22356.0
5000,12.04,1.0,0.0,25660.0,7376.0,639.0,9.0,6,5,65753,0,0,1,3,0,2018,7,5000,602.0
5000,21.8,3.0,0.0,88497.0,7126.0,375.0,12.1,7,1,431103,0,0,10,7,2,2020,9,5000,3270.0
30000,15.72,2.0,0.0,244625.0,4754.0,395.0,9.8,4,0,261991,0,0,4,6,1,2019,1,30000,9432.0
30000,15.91,2.0,0.0,105205.0,870.0,446.0,1.6,1,0,311465,0,0,3,4,2,2020,12,30000,9546.0
30000,20.2,4.0,0.0,90824.0,7384.0,737.0,2.9,2,1,202229,0,0,3,0,2,2020,4,30000,24240.0
75000,6.64,4.0,0.0,92386.0,5318.0,347.0,5.2,1,3,338751,0,0,2,1,2,2022,5,75000,19920.0
5000,22.76,4.0,0.0,84028.0,4751.0,783.0,21.6,3,0,453282,0,1,5,5,2,2024,2,5000,4552.000000000001
10000,8.89,5.0,0.0,224028.0,6692.0,777.0,11.7,2,0,183338,0,0,0,5,3,2022,12,0,0.0
10000,6.83,2.0,0.0,131840.0,4966.0,701.0,28.3,7,0,172194,0,0,0,3,3,2015,2,10000,1366.0
25000,14.42,2.0,0.0,187654.0,7727.0,403.0,17.7,3,5,435055,0,0,8,6,0,2020,3,25000,7210.0
20000,11.76,2.0,0.0,109597.0,6756.0,453.0,6.6,5,4,127822,0,0,11,7,1,2015,11,20000,4704.0
5000,9.32,3.0,0.0,90784.0,7931.0,754.0,3.8,3,4,160236,0,0,0,1,2,2024,9,5000,1398.0
20000,7.8,3.0,1.0,247321.0,4256.328051603623,702.0,27.1,6,2,171576,0,0,11,4,0,2019,10,0,0.0
40000,6.27,4.0,1.0,28846.0,4914.0,653.0,0.5,7,0,239388,0,0,0,2,1,2021,8,40000,10031.999999999998
25000,9.31,2.0,1.0,163098.0,7529.0,499.0,16.9,2,5,137305,0,0,9,4,1,2023,3,25000,4655.0
25000,5.08,3.0,0.0,222255.0,3645.0,527.0,2.1,0,5,200765,0,0,4,0,2,2020,11,25000,3810.0
15000,6.64,1.0,0.0,157486.0,4483.0,775.0,6.1,6,1,122381,0,0,5,2,0,2023,9,0,0.0
10000,24.33,3.0,0.0,41527.0,4249.0,362.0,17.2,5,2,463751,0,0,6,3,1,2022,10,10000,7299.0
5000,13.04,2.0,0.0,245246.0,6434.0,453.0,16.2,1,5,216556,0,0,1,5,4,2019,2,5000,1303.9999999999998
15000,23.37,5.0,0.0,114645.0,2229.0,746.0,9.0,5,4,228563,0,0,6,4,2,2022,8,15000,17527.500000000004
5000,12.99,5.0,1.0,248674.0,5685.0,701.0,25.3,4,0,368469,0,0,7,1,2,2019,10,5000,3247.5000000000005
10000,20.58,2.0,0.0,147537.0,7614.0,641.0,27.0,6,5,230721,0,0,10,2,4,2023,8,10000,4116.0
15000,8.24,3.0,0.0,79558.0,7686.0,716.0,21.9,1,1,362218,0,0,11,6,2,2024,7,15000,3708.0
5000,14.36,3.0,1.0,155678.0,3587.0,737.0,0.0,0,3,345987,0,0,1,2,0,2018,3,0,0.0
20000,7.43,3.0,0.0,137388.0,5315.0,722.0,8.3,1,2,222939,1,1,3,5,4,2023,5,20000,4457.999999999999
5000,10.65,3.0,0.0,203347.0,2910.0,696.0,20.0,2,2,281900,0,0,4,0,2,2018,1,5000,1597.5
75000,17.35,1.0,1.0,231631.0,7456.0,595.0,27.2,5,5,303989,0,0,5,3,4,2015,7,75000,13012.500000000002
5000,19.9,3.0,0.0,159900.0,6525.0,625.0,0.2,2,1,56016,0,0,11,4,0,2018,7,5000,2984.9999999999995
40000,23.28,3.0,0.0,46828.0,6513.0,827.0,5.6,4,4,109206,0,0,6,5,0,2021,9,0,0.0
5000,5.96,3.0,1.0,199918.0,5356.0,374.0,25.8,7,0,295568,0,0,4,1,0,2017,9,5000,894.0
50000,19.86,4.0,0.0,159506.0,5974.0,544.0,18.7,6,0,321293,0,0,3,6,0,2018,3,50000,39720.0
5000,7.54,1.0,0.0,169741.0,3707.0,383.0,0.3,3,5,300009,0,0,10,1,2,2021,10,5000,377.0
30000,22.37,5.0,0.0,207299.0,7129.0,764.0,16.3,3,1,312449,0,0,0,1,0,2016,5,0,0.0
15000,17.99,5.0,0.0,215545.0,6817.0,825.0,23.3,4,2,346766,0,0,10,0,3,2018,12,0,0.0
30000,23.04,1.0,0.0,1221000.0,2493.0,328.0,0.9,1,2,199757,0,0,7,5,1,2015,2,30000,6912.0
15000,7.59,3.0,0.0,235726.0,2749.0,366.0,6.1,6,3,140248,0,0,9,1,4,2017,10,15000,3415.5
5000,14.68,3.0,0.0,44139.0,3807.0,544.0,11.6,4,0,74431,0,0,8,3,2,2020,8,5000,2201.9999999999995
30000,14.85,3.0,0.0,88914.0,6042.0,407.0,29.7,4,1,297144,0,0,9,3,2,2016,8,30000,13365.0
5000,19.82,3.0,0.0,41947.0,4685.0,718.0,3.2,0,0,259927,0,0,11,0,0,2020,3,5000,2973.0000000000005
5000,5.26,4.0,0.0,187293.0,2048.0,821.0,9.4,4,4,177826,0,0,7,3,0,2021,9,0,0.0
15000,18.01,3.0,0.0,96737.0,4151.0,347.0,16.7,2,2,333310,0,0,6,3,2,2016,4,15000,8104.5
30000,5.82,3.0,0.0,58149.0,6147.0,505.0,11.8,0,1,305085,0,0,8,4,4,2017,9,30000,5238.0
15000,13.44,3.0,0.0,192720.0,851.0,837.0,2.5,3,0,292168,1,0,10,1,2,2015,12,15000,6047.999999999999
10000,21.99,5.0,0.0,7330.1,4609.0,834.0,28.4,1,4,323913,1,0,7,5,3,2024,12,10000,10995.0
30000,16.25,3.0,0.0,208275.0,3740.0,330.0,17.3,4,4,257753,0,0,11,7,0,2015,9,30000,14625.0
30000,22.0,1.0,0.0,60046.0,3068.0,540.0,5.3,5,1,190087,0,0,6,4,4,2017,4,30000,6600.0
50000,17.84,3.0,0.0,238528.0,7334.0,382.0,17.6,4,2,388004,0,0,6,7,3,2020,5,50000,26760.0
15000,23.11,3.0,0.0,217020.0,6663.0,406.0,25.6,3,5,101624,0,0,5,1,0,2016,3,15000,10399.5
20000,20.84,4.0,1.0,161969.0,1795.0,573.0,17.5,3,5,173745,0,1,2,3,2,2015,11,20000,16672.0
15000,19.49,3.0,0.0,118755.0,1981.0,570.0,13.0,1,4,93321,0,0,1,2,0,2016,8,15000,8770.5
10000,19.87,3.0,0.0,194762.0,5202.0,578.0,27.3,2,5,231085,0,0,11,5,2,2021,12,10000,5961.000000000001
10000,21.99,2.0,0.0,105069.0,6474.0,719.0,19.4,2,4,188665,0,0,10,5,3,2017,5,10000,4398.0
15000,14.32,4.0,0.0,148251.0,6796.0,556.0,1.1,0,0,22240,0,0,0,6,3,2020,6,15000,8592.0
15000,6.32,4.0,0.0,197112.0,4546.0,,22.0,1,4,403725,0,1,0,3,1,2024,7,15000,3792.000000000001
25000,19.99,4.0,0.0,1258120.0,7012.0,343.0,3.8,5,4,239297,0,0,8,1,4,2021,8,25000,19990.0
50000,19.76,5.0,0.0,152720.0,2189.0,580.0,17.6,2,2,323357,0,0,9,2,2,2019,7,50000,49400.00000000001
25000,7.71,3.0,0.0,109949.0,3536.0,788.0,17.6,0,1,309006,0,0,11,7,2,2023,9,0,0.0
15000,10.0,3.0,0.0,167367.0,5200.0,320.0,12.9,3,0,319124,0,0,2,3,4,2021,1,15000,4500.0
30000,9.9,2.0,1.0,234045.0,1200.0,492.0,23.2,1,2,309917,0,0,1,1,0,2019,4,30000,5940.0
25000,16.85,3.0,0.0,249283.0,4683.0,357.0,12.8,3,5,496092,0,0,11,4,0,2021,5,25000,12637.5
5000,16.16,3.0,0.0,240047.0,7149.0,508.0,3.0,4,5,180884,0,0,8,0,2,2015,2,5000,2424.0
5000,7.38,4.0,0.0,57481.0,7394.0,452.0,24.4,6,5,406806,0,1,6,1,2,2018,3,5000,1476.0
5000,13.78,1.0,0.0,83574.0,4994.0,753.0,22.6,7,1,301371,0,0,11,3,0,2021,6,0,0.0
15000,5.49,2.0,0.0,185334.0,7243.0,390.0,3.4,5,2,371629,0,0,1,6,0,2020,5,15000,1647.0000000000002
10000,6.38,4.0,0.0,246919.0,7868.0,330.0,23.4,7,1,167634,0,0,1,7,4,2023,12,10000,2552.0
15000,14.88,3.0,0.0,239954.0,5288.0,737.0,9.0,7,1,137737,0,0,7,6,3,2020,7,15000,6696.000000000002
50000,6.25,1.0,0.0,236711.0,6516.0,394.0,13.4,6,1,109425,0,0,10,1,2,2019,7,50000,3125.0
40000,24.03,3.0,0.0,99033.0,7037.0,791.0,15.7,4,2,265233,0,1,3,0,0,2016,7,0,0.0
25000,17.53,2.0,0.0,52929.0,3347.0,316.0,7.1,6,2,436293,0,0,3,3,3,2024,7,25000,8765.0
10000,20.44,5.0,0.0,208756.0,1514.0,375.0,6.2,5,2,444274,0,0,7,2,3,2024,12,10000,10220.000000000002
5000,13.24,5.0,1.0,237863.0,4774.0,364.0,13.5,0,0,44206,1,0,10,6,0,2021,7,5000,3310.0
5000,23.99,1.0,0.0,222684.0,5469.0,733.0,25.2,2,4,180626,0,0,6,1,1,2018,10,5000,1199.4999999999998
5000,20.5,3.0,0.0,190918.0,6458.0,433.0,28.2,5,4,228163,0,0,0,3,4,2021,4,5000,3075.0
10000,11.26,4.0,0.0,190442.0,6893.0,625.0,25.4,6,4,150561,0,0,2,2,4,2015,2,10000,4504.0
5000,14.2,3.0,0.0,224824.0,4623.0,525.0,9.7,6,2,340479,1,1,3,6,2,2021,12,5000,2129.9999999999995
5000,16.01,2.0,0.0,116693.0,1194.0,849.0,23.0,1,1,425626,1,0,3,3,0,2020,2,5000,1601.0000000000002
10000,15.63,2.0,0.0,51479.0,2251.0,732.0,26.5,7,4,159937,0,0,0,3,2,2020,3,10000,3126.0
25000,23.81,5.0,0.0,65650.0,7424.0,,16.1,6,5,114529,0,0,9,0,0,2021,9,0,0.0
20000,18.89,3.0,0.0,227868.0,5682.0,788.0,1.8,5,0,236269,0,0,11,1,4,2022,8,0,0.0
20000,14.3,4.0,1.0,35691.0,1106.0,505.0,4.3,2,1,188843,0,0,10,3,3,2021,9,20000,11440.000000000002
15000,11.96,2.0,0.0,169535.0,5192.0,606.0,15.3,4,3,409841,0,0,0,2,0,2018,3,15000,3588.0000000000005
5000,20.99,3.0,0.0,178100.0,2512.0,568.0,29.5,0,0,61996,0,0,11,3,3,2019,1,5000,3148.499999999999
10000,22.64,4.0,0.0,105871.0,2502.0,409.0,20.8,6,0,152852,0,1,0,0,4,2019,10,10000,9056.0
100000,5.68,2.0,0.0,171694.0,3719.0,332.0,26.7,6,2,280870,0,0,11,5,3,2016,9,100000,11360.0
50000,8.31,2.0,0.0,224498.0,6901.0,845.0,8.6,4,1,227960,0,0,3,5,2,2020,12,0,0.0
25000,18.34,1.0,0.0,238793.0,2281.0,591.0,22.1,5,1,53599,0,0,7,3,4,2018,1,25000,4585.0
5000,10.11,4.0,0.0,163695.0,5601.0,829.0,6.6,6,4,407418,0,0,5,6,0,2019,1,0,0.0
5000,20.71,4.0,0.0,171413.0,5845.0,333.0,16.4,7,3,444491,0,0,1,5,2,2021,2,5000,4142.0
25000,22.02,3.0,0.0,55700.0,1133.0,467.0,15.1,3,5,360049,0,0,6,6,1,2020,3,25000,16515.0
10000,17.09,3.0,0.0,193976.0,6305.0,564.0,6.4,3,4,59864,0,0,7,5,1,2017,3,10000,5127.0
15000,14.03,3.0,0.0,197043.0,3830.0,574.0,11.3,6,3,261282,1,0,6,7,3,2024,4,15000,6313.499999999998
25000,6.27,4.0,0.0,204452.0,5319.0,,15.2,5,2,421532,0,0,11,0,1,2022,3,25000,6269.999999999999
15000,19.75,4.0,0.0,180261.0,1496.0,735.0,7.2,6,0,53561,0,0,10,1,3,2017,10,15000,11850.0
10000,19.22,3.0,0.0,58385.0,3862.0,374.0,22.4,5,2,265524,0,0,0,7,1,2017,1,10000,5765.999999999999
10000,9.72,4.0,0.0,53673.0,6534.0,453.0,3.9,2,3,192920,0,0,2,4,2,2023,2,10000,3888.000000000001
10000,19.58,1.0,0.0,205453.0,4736.0,372.0,9.3,0,0,169530,0,0,5,0,3,2020,2,10000,1958.0
75000,9.62,3.0,0.0,63629.0,3178.0,813.0,15.7,7,2,155406,1,0,8,1,4,2021,4,75000,21645.0
30000,18.5,3.0,0.0,161242.0,7219.0,724.0,18.0,7,4,215057,0,0,11,4,4,2017,1,30000,16650.0
15000,7.95,2.0,0.0,35820.0,6590.0,686.0,26.0,0,4,419921,0,0,2,6,3,2017,7,15000,2385.0
10000,17.06,3.0,0.0,240998.0,2258.0,801.0,26.5,7,1,300761,0,0,10,0,3,2016,4,0,0.0
10000,9.13,2.0,0.0,191795.0,6540.0,774.0,21.6,4,1,445079,1,0,4,4,1,2023,3,10000,1826.0
15000,22.05,3.0,0.0,115718.0,4371.0,324.0,12.2,1,4,492931,0,0,8,2,2,2021,1,15000,9922.5
50000,24.36,4.0,0.0,179492.0,3872.0,470.0,20.6,7,3,239594,1,0,3,4,1,2021,1,50000,48720.0
5000,11.1,3.0,0.0,110955.0,4388.0,711.0,27.7,3,0,363766,0,0,1,7,2,2025,1,5000,1665.0
15000,15.74,5.0,0.0,33205.0,6904.0,625.0,8.1,4,0,136706,0,0,1,3,3,2017,4,15000,11805.0
10000,24.16,4.0,0.0,105862.0,3188.0,549.0,12.5,5,1,392788,0,0,0,1,0,2015,4,10000,9664.0
20000,20.26,5.0,0.0,33225.0,5945.0,387.0,27.1,1,5,469771,0,0,4,0,1,2023,7,20000,20260.0
15000,24.67,1.0,0.0,84959.0,2248.0,336.0,0.0,0,2,472602,0,0,8,7,4,2023,12,15000,3700.500000000001
15000,22.51,3.0,1.0,182748.0,6992.0,427.0,29.1,0,3,35912,0,0,7,1,4,2015,12,15000,10129.500000000002
5000,18.73,2.0,0.0,146245.0,4046.0,619.0,12.6,0,1,45722,0,0,3,2,1,2024,5,0,0.0
5000,8.69,3.0,1.0,190143.0,7951.0,433.0,15.9,4,4,450906,0,0,8,2,4,2016,10,5000,1303.4999999999998
40000,22.61,3.0,0.0,95285.0,3586.0,532.0,15.0,2,2,396514,0,0,6,4,4,2018,8,40000,27132.0
50000,17.12,3.0,0.0,201987.0,2609.0,410.0,15.5,0,1,370236,0,0,3,0,0,2023,6,0,0.0
10000,14.03,3.0,0.0,158457.0,2711.0,639.0,6.9,6,4,497021,0,0,6,1,4,2015,2,10000,4208.999999999999
5000,24.28,3.0,1.0,213013.0,708.0,567.0,3.1,0,5,216362,0,0,0,6,2,2020,9,5000,3642.0
20000,5.22,4.0,0.0,233929.0,1538.0,414.0,5.5,2,5,260732,0,0,11,7,3,2020,8,20000,4176.0
25000,20.0,5.0,0.0,62795.0,3900.0,532.0,15.5,2,3,187752,0,0,5,0,0,2015,10,25000,25000.0
15000,20.24,4.0,0.0,163632.0,722.0,817.0,18.4,4,5,433667,0,0,7,1,4,2023,4,0,0.0
25000,24.32,2.0,0.0,123522.0,1231.0,497.0,27.8,7,2,393756,0,0,1,7,0,2019,7,25000,12160.0
75000,14.91,2.0,0.0,53263.0,7162.0,829.0,16.1,1,0,303783,0,1,3,3,0,2016,12,75000,22365.0
5000,19.3,3.0,0.0,52510.0,2468.0,385.0,11.8,4,2,178813,0,0,0,1,1,2016,3,5000,2895.0
10000,13.53,4.0,0.0,186460.0,5218.0,494.0,6.0,7,4,206538,0,1,9,0,2,2016,7,10000,5412.0
5000,11.33,1.0,0.0,61101.0,7726.0,749.0,1.6,1,5,225218,0,0,9,4,0,2019,2,5000,566.5
40000,16.4,4.0,0.0,59149.0,7327.0,838.0,20.7,5,1,263616,0,0,6,6,0,2019,8,0,0.0
30000,22.84,4.0,0.0,179305.0,4326.0,818.0,5.6,0,4,310818,0,0,2,3,0,2021,6,0,0.0
20000,17.8,3.0,0.0,135127.0,7041.0,320.0,4.0,7,1,264189,0,0,7,4,3,2021,4,20000,10680.000000000002
5000,18.06,3.0,0.0,3562.4,1784.0,561.0,18.2,3,2,472276,0,1,7,1,0,2021,12,5000,2708.9999999999995
10000,9.68,2.0,0.0,175228.0,7888.0,304.0,12.4,1,2,35493,0,1,3,5,2,2018,3,10000,1936.0
20000,17.56,2.0,0.0,156326.0,870.0,831.0,9.3,1,0,95132,0,0,8,4,1,2015,11,0,0.0
10000,7.92,4.0,0.0,238887.0,1719.0,649.0,6.4,4,0,142719,0,0,10,0,1,2018,3,10000,3167.9999999999995
5000,13.93,3.0,0.0,136577.0,1621.0,325.0,9.9,2,4,130701,0,0,9,5,3,2021,5,5000,2089.5
30000,10.0,2.0,0.0,181153.0,2368.0,535.0,4.5,4,2,423521,0,0,5,6,0,2022,3,30000,6000.0
10000,19.11,1.0,1.0,172111.0,4607.0,800.0,19.8,0,2,17740,0,0,6,2,1,2018,10,10000,1911.0
15000,15.7,3.0,0.0,62589.0,717.0,633.0,29.1,1,2,57189,0,0,11,0,3,2018,10,15000,7065.0
5000,7.01,4.0,0.0,223500.0,7629.0,382.0,3.0,6,3,338632,0,0,0,6,2,2018,1,5000,1402.0
40000,16.2,4.0,0.0,243607.0,3287.0,429.0,7.6,1,4,124834,0,0,8,1,1,2025,1,40000,25920.0
20000,17.03,2.0,0.0,114597.0,7067.0,585.0,13.7,7,1,118165,0,1,4,2,1,2020,10,20000,6812.0
50000,10.81,5.0,0.0,136165.0,2787.0,430.0,1.2,3,3,440590,0,0,9,6,3,2017,7,50000,27025.0
15000,11.62,3.0,0.0,182574.0,1480.0,634.0,25.7,2,0,423913,1,0,2,6,1,2015,7,15000,5229.0
75000,22.5,3.0,1.0,171451.0,7900.0,434.0,11.5,5,4,172236,0,0,1,3,4,2021,6,75000,50625.0
20000,24.36,2.0,0.0,132290.0,7842.0,482.0,10.2,5,2,436418,0,0,2,0,0,2020,7,20000,9744.0
75000,9.28,3.0,0.0,238419.0,973.0,352.0,23.9,4,3,420283,0,0,5,0,0,2015,11,75000,20880.0
10000,9.84,4.0,0.0,85542.0,2927.0,468.0,22.9,1,2,21103,0,0,9,0,1,2017,6,10000,3936.0
15000,12.82,3.0,1.0,93482.0,2184.0,676.0,10.0,7,5,427525,0,0,6,1,3,2023,10,15000,5769.000000000001
5000,23.96,4.0,0.0,114765.0,5403.0,329.0,22.0,1,2,293117,0,0,7,5,3,2023,5,5000,4792.0
20000,22.92,3.0,0.0,31386.0,3040.0,439.0,1.5,3,0,348761,0,0,10,2,4,2020,1,20000,13752.0
30000,19.93,5.0,0.0,201406.0,1571.0,580.0,0.8,0,3,280406,0,0,10,5,4,2022,10,30000,29895.0
30000,20.89,4.0,0.0,166152.0,1926.0,531.0,10.0,1,3,20541,0,0,9,0,1,2015,3,30000,25068.0
5000,15.43,1.0,0.0,93686.0,5634.0,408.0,6.0,0,4,75735,0,0,11,6,3,2019,9,5000,771.5
15000,23.1,1.0,0.0,226224.0,6294.0,691.0,15.0,5,5,389985,0,0,8,6,1,2018,1,15000,3465.0
25000,15.84,3.0,0.0,164258.0,5239.0,797.0,2.2,4,1,265711,0,0,7,4,0,2022,2,0,0.0
10000,21.43,2.0,0.0,24566.0,7357.0,502.0,0.9,1,0,63425,0,0,11,1,2,2017,9,10000,4286.0
50000,16.4,4.0,1.0,91210.0,4646.0,635.0,21.8,7,0,326706,0,0,5,4,3,2023,6,50000,32799.99999999999
10000,21.29,5.0,0.0,207721.0,2871.0,522.0,9.7,0,1,329629,0,0,11,6,4,2024,11,10000,10645.0
10000,8.34,4.0,0.0,42231.0,4755.0,705.0,16.9,5,2,424612,0,0,1,1,4,2023,1,10000,3336.0
40000,5.77,4.0,0.0,153211.0,595.0,602.0,28.1,6,2,231076,0,1,8,3,4,2024,7,40000,9232.0
15000,16.17,1.0,0.0,134863.0,4812.0,609.0,12.9,5,0,384254,0,1,7,5,0,2015,6,15000,2425.5
5000,18.94,2.0,0.0,170819.0,2855.0,778.0,23.0,6,2,254098,0,0,7,6,1,2023,12,5000,1894.0
15000,16.12,3.0,0.0,27910.0,2166.0,647.0,10.9,5,5,19776,0,0,5,0,4,2015,10,15000,7254.0
5000,12.27,3.0,0.0,166366.0,7609.0,354.0,15.9,6,1,356793,0,0,5,2,4,2020,1,5000,1840.5
100000,19.45,1.0,0.0,198608.0,874.0,800.0,21.7,1,0,461423,0,0,11,6,4,2023,3,100000,19450.0
20000,8.41,3.0,0.0,213649.0,1949.0,758.0,16.2,7,4,65668,0,0,6,1,1,2015,9,20000,5046.000000000001
5000,15.43,3.0,0.0,236988.0,3628.0,513.0,29.0,0,4,197102,0,0,11,1,3,2018,9,5000,2314.5
30000,20.01,1.0,1.0,239711.0,6448.0,630.0,27.1,2,4,153631,0,0,9,6,0,2024,9,0,0.0
50000,8.95,3.0,0.0,223920.0,5844.0,406.0,14.8,3,4,300492,0,0,6,5,4,2024,4,50000,13425.0
50000,13.87,4.0,0.0,24859.0,5091.0,318.0,17.8,3,4,484483,0,0,11,2,3,2015,10,50000,27740.0
10000,18.37,2.0,0.0,32222.0,3827.0,629.0,23.0,7,2,315480,0,0,2,3,0,2015,5,10000,3674.0
10000,6.58,4.0,0.0,109824.0,7885.0,753.0,26.9,0,1,227169,0,0,4,5,3,2016,7,10000,2632.0
5000,9.09,2.0,0.0,248117.0,2158.0,433.0,19.3,3,0,108263,0,0,7,1,2,2017,8,5000,909.0
25000,19.43,3.0,0.0,134850.5,2400.0,591.0,10.9,6,4,189941,0,0,8,2,1,2020,4,25000,14572.5
20000,11.26,3.0,0.0,34118.0,7875.0,322.0,4.1,1,3,471732,0,0,5,1,4,2017,12,20000,6756.0
15000,6.87,3.0,0.0,59440.0,6971.0,379.0,6.9,7,0,403819,0,0,8,5,4,2020,4,15000,3091.5
50000,19.9,3.0,1.0,151883.0,3799.0,478.0,1.7,3,1,474936,0,0,6,1,0,2023,9,50000,29850.0
10000,9.17,4.0,0.0,133121.0,3050.0,772.0,2.0,7,1,491471,0,0,10,3,4,2018,5,0,0.0
5000,17.49,5.0,0.0,148984.0,1302.0,835.0,4.2,0,2,319277,0,1,7,3,4,2017,4,5000,4372.499999999999
10000,23.2,4.0,0.0,93874.0,7563.0,494.0,17.1,0,2,276061,0,1,3,1,4,2020,4,10000,9280.0
20000,9.47,3.0,0.0,79514.0,5617.0,421.0,28.6,4,3,44363,0,0,5,6,2,2022,11,20000,5682.000000000001
10000,17.71,2.0,0.0,156670.0,5022.0,494.0,14.0,3,3,394229,0,0,0,0,2,2021,8,10000,3542.0
30000,23.76,2.0,0.0,71561.0,2418.0,395.0,23.4,7,4,270074,0,1,10,3,0,2016,10,30000,14256.0
10000,24.37,2.0,0.0,72942.0,793.0,697.0,9.7,1,3,100813,0,0,0,0,4,2015,8,10000,4874.0
10000,19.72,3.0,0.0,28820.0,7570.0,432.0,28.8,1,4,457423,0,0,11,3,4,2016,2,10000,5915.999999999999
20000,22.22,2.0,0.0,197386.0,2732.0,388.0,2.9,1,0,399938,0,0,6,7,1,2016,8,20000,8888.0
75000,17.75,4.0,0.0,248839.0,1102.0,799.0,9.8,7,5,448768,0,0,4,7,3,2019,1,0,0.0
5000,22.02,3.0,1.0,169745.0,6597.0,518.0,29.7,4,0,223269,0,0,9,7,3,2021,5,5000,3303.0
20000,15.44,1.0,0.0,231782.0,1045.0,,12.6,4,4,194951,0,0,2,6,4,2022,12,20000,3087.9999999999995
40000,16.99,1.0,0.0,4103.0,5813.0,414.0,20.5,4,5,420512,0,0,3,0,2,2021,6,40000,6796.0
20000,7.01,2.0,0.0,197287.0,1217.0,629.0,16.0,5,2,421625,0,0,4,5,0,2020,9,0,0.0
10000,12.64,2.0,0.0,86644.0,5114.0,439.0,14.6,7,3,336507,0,1,2,2,0,2015,7,10000,2528.0000000000005
15000,5.28,4.0,0.0,169401.0,3680.0,448.0,22.5,1,4,261484,0,0,0,2,3,2015,10,15000,3168.0
25000,19.93,4.0,0.0,155519.0,6910.0,709.0,18.0,3,2,30284,0,0,11,7,1,2020,2,25000,19930.0
50000,13.02,2.0,0.0,41271.0,1500.0,589.0,16.9,1,4,484377,0,0,3,2,3,2018,5,50000,13019.999999999998
5000,22.98,2.0,0.0,229249.0,1301.0,414.0,22.5,3,3,309002,0,0,11,6,0,2020,8,5000,2298.0
10000,5.44,4.0,0.0,49204.0,3808.0,790.0,10.4,1,0,276499,0,0,9,6,3,2023,6,10000,2176.0
10000,12.5,3.0,0.0,248861.0,5801.0,643.0,19.3,7,1,362882,0,0,5,1,0,2024,11,10000,3750.0
10000,24.47,3.0,0.0,208697.0,3867.0,612.0,22.3,3,1,168472,0,0,7,1,0,2018,4,0,0.0
10000,24.41,4.0,0.0,85929.0,7979.0,567.0,27.8,4,3,371628,1,0,10,2,4,2024,2,10000,9764.0
5000,10.07,4.0,0.0,78308.0,4912.0,303.0,14.8,5,5,98775,0,0,8,0,2,2024,4,5000,2014.0
75000,14.61,2.0,0.0,54262.0,3540.0,624.0,11.3,0,2,376402,0,0,5,4,3,2022,9,75000,21915.0
5000,24.51,3.0,0.0,229637.0,2096.0,538.0,20.6,5,1,219922,0,0,1,4,3,2016,7,5000,3676.5
10000,20.97,2.0,0.0,134850.5,7866.0,596.0,22.9,6,0,128753,0,0,4,6,1,2022,3,10000,4194.0
10000,18.36,3.0,0.0,80028.0,2967.0,622.0,21.8,7,1,31937,0,0,8,5,2,2018,5,10000,5507.999999999999
75000,23.58,3.0,0.0,74889.0,1910.0,777.0,4.4,1,3,235608,0,0,0,6,0,2023,7,75000,53055.0
30000,18.9,4.0,0.0,151706.0,2125.0,818.0,12.2,2,0,85517,0,0,5,4,3,2019,6,0,0.0
30000,10.91,2.0,0.0,25533.0,5109.0,572.0,4.2,2,0,281847,0,0,2,0,3,2016,5,30000,6546.0
5000,16.26,3.0,0.0,122273.0,5845.0,840.0,18.4,7,4,52534,0,0,7,0,4,2018,6,5000,2439.0000000000005
40000,10.35,4.0,0.0,47070.0,6623.0,624.0,13.9,3,4,169746,0,0,4,6,3,2018,9,40000,16560.0
15000,16.34,4.0,0.0,238879.0,6704.0,491.0,9.8,1,5,85123,0,0,11,4,0,2020,9,15000,9804.0
10000,24.24,3.0,0.0,175453.0,5939.0,306.0,6.5,4,4,28536,0,1,0,7,2,2020,1,10000,7271.999999999998
20000,15.12,3.0,0.0,248761.0,6373.0,833.0,21.2,7,2,201613,0,0,6,4,4,2016,5,0,0.0
40000,15.12,4.0,0.0,20502.0,6103.0,719.0,23.8,4,1,300093,0,0,2,2,3,2015,8,40000,24192.0
50000,7.19,4.0,0.0,97470.0,4144.0,329.0,20.6,6,5,386721,0,0,10,7,1,2017,11,50000,14380.000000000002
10000,18.23,3.0,0.0,27619.0,3726.0,505.0,3.9,5,3,465302,0,0,2,2,4,2023,8,10000,5469.000000000001
